"";"word";"n"
"1";"Licenciamento";118
"2";"Etapa";111
"3";"Processo";100
"4";"Ibama";95
"5";"Análise";91
"6";"Impactos";89
"7";"Ambiental";82
"8";"Região";79
"9";"EIA";73
"10";"Manifestação";66
"11";"UCS";66
"12";"Óleo";65
"13";"Petrobras";63
"14";"Proposta";63
"15";"Dados";61
"16";"Pré-Sal";61
"17";"Trabalho";61
"18";"Parte";60
"19";"Relação";59
"20";"Pólis";57
"21";"Possível";57
"22";"Navios";55
"23";"Condicionantes";54
"24";"Forma";53
"25";"Lucila";53
"26";"Instituto";52
"27";"Áreas";51
"28";"Informações";50
"29";"Somente";50
"30";"Irá";46
"31";"Sigap";44
"32";"Água";43
"33";"Metas";43
"34";"Anos";42
"35";"Gestão";42
"36";"Participação";42
"37";"Estado";41
"38";"P";41
"39";"Meio";40
"40";"Sistema";40
"41";"Ambiente";39
"42";"Araçá";39
"43";"Dois";39
"44";"Maior";39
"45";"Observatório";39
"46";"Informação";38
"47";"Outras";38
"48";"Gtlicenciamento";37
"49";"Pessoas";37
"50";"Porto";37
"51";"Citou";36
"52";"Discussão";36
"53";"Pesca";36
"54";"Três";36
"55";"Algumas";35
"56";"Brasil";35
"57";"Haver";35
"58";"Paulo";35
"59";"Criação";34
"60";"Empreendimentos";34
"61";"Fez";34
"62";"Gás";34
"63";"Monitoramento";34
"64";"Próxima";34
"65";"Diagnóstico";33
"66";"Dp";33
"67";"Vazamento";33
"68";"Cbhln";32
"69";"Decreto";32
"70";"Empreendimento";32
"71";"Ilhabela";32
"72";"Licença";32
"73";"Possui";32
"74";"Todo";32
"75";"Haverá";31
"76";"Petróleo";31
"77";"Produção";31
"78";"Risco";31
"79";"Sebastião";31
"80";"Ano";30
"81";"Compensação";30
"82";"Considera";30
"83";"Discutido";30
"84";"Estadual";30
"85";"Mostrou";30
"86";"Devem";29
"87";"Iis";29
"88";"Sociedade";29
"89";"Bem";28
"90";"Carlos";28
"91";"Manejo";28
"92";"Solicitou";28
"93";"Esclareceu";27
"94";"Final";27
"95";"Melhor";27
"96";"Municípios";27
"97";"Pescadores";27
"98";"Planejamento";27
"99";"Alguns";26
"100";"Cumulativos";26
"101";"EIArima";26
"102";"Feita";26
"103";"Mil";26
"104";"Várias";26
"105";"Entender";25
"106";"Fórum";25
"107";"Interessante";25
"108";"Leonardo";25
"109";"Pauta";25
"110";"Vários";25
"111";"Ajuda";24
"112";"Além";24
"113";"Apresentou";24
"114";"Através";24
"115";"Empreendedor";24
"116";"Módulo";24
"117";"Outros";24
"118";"Pública";24
"119";"Sustentável";24
"120";"Acompanhamento";23
"121";"Costa";23
"122";"Dentro";23
"123";"Equipe";23
"124";"Faz";23
"125";"Ficou";23
"126";"Apenas";22
"127";"Audiência";22
"128";"Baía";22
"129";"Caso";22
"130";"Cdss";22
"131";"Comdial";22
"132";"Condicionante";22
"133";"Desde";22
"134";"Diferentes";22
"135";"Diversas";22
"136";"Importância";22
"137";"Lembrou";22
"138";"Representante";22
"139";"Sabe";22
"140";"Saber";22
"141";"Técnica";22
"142";"Tudo";22
"143";"Antes";21
"144";"Bastante";21
"145";"Discutir";21
"146";"Documentos";21
"147";"Gestor";21
"148";"Ideia";21
"149";"Possuem";21
"150";"Produtos";21
"151";"Realizar";21
"152";"Resultados";21
"153";"Agenda";20
"154";"Complementou";20
"155";"Diversos";20
"156";"Duas";20
"157";"Fato";20
"158";"Federal";20
"159";"Feito";20
"160";"Icmbio";20
"161";"Impacto";20
"162";"Influência";20
"163";"Integrada";20
"164";"Memória";20
"165";"Previsão";20
"166";"Questionou";20
"167";"Referente";20
"168";"Segundo";20
"169";"Tempo";20
"170";"Toda";20
"171";"Atores";19
"172";"Avaliação";19
"173";"Cc";19
"174";"Deliberação";19
"175";"Estudo";19
"176";"Mesma";19
"177";"Modelagem";19
"178";"Momento";19
"179";"Ordinária";19
"180";"Outro";19
"181";"Quatro";19
"182";"Revisada";19
"183";"Tlds";19
"184";"Trabalhar";19
"185";"Ubatuba";19
"186";"Uc";19
"187";"Ações";18
"188";"Agradeceu";18
"189";"Apresentar";18
"190";"Atualmente";18
"191";"Dessa";18
"192";"Elaboração";18
"193";"Embarcações";18
"194";"Escoamento";18
"195";"Fica";18
"196";"Gestores";18
"197";"Inclusive";18
"198";"Instituição";18
"199";"Interesse";18
"200";"Mencionou";18
"201";"Município";18
"202";"Objetivo";18
"203";"Opinião";18
"204";"Presença";18
"205";"Público";18
"206";"Responsabilidade";18
"207";"Versão";18
"208";"Acesso";17
"209";"Amadora";17
"210";"Concluiu";17
"211";"Deste";17
"212";"Disso";17
"213";"Enviar";17
"214";"Esec";17
"215";"Estudos";17
"216";"Havia";17
"217";"Importantes";17
"218";"Intenção";17
"219";"Menos";17
"220";"Metros";17
"221";"Mundo";17
"222";"Oficinas";17
"223";"Órgão";17
"224";"Parecer";17
"225";"Possibilidade";17
"226";"Prefeitura";17
"227";"Presentes";17
"228";"Protegidas";17
"229";"Rota";17
"230";"Vez";17
"231";"Ajudas";16
"232";"Aumento";16
"233";"Câmara";16
"234";"Colaboradores";16
"235";"Conselhos";16
"236";"Controle";16
"237";"CTpesca";16
"238";"Devolutiva";16
"239";"Difícil";16
"240";"Gerco";16
"241";"Necessário";16
"242";"Neste";16
"243";"Outra";16
"244";"País";16
"245";"Participativo";16
"246";"Petrobrás";16
"247";"Plataforma";16
"248";"Prazo";16
"249";"Problema";16
"250";"Projetos";16
"251";"Públicas";16
"252";"Quer";16
"253";"Adriano";15
"254";"Alguma";15
"255";"Aliviadores";15
"256";"Aprovada";15
"257";"Atividades";15
"258";"Concordou";15
"259";"Conservação";15
"260";"Florestal";15
"261";"Hoje";15
"262";"Linha";15
"263";"Moção";15
"264";"Participar";15
"265";"Poços";15
"266";"Portos";15
"267";"Prefeituras";15
"268";"Produto";15
"269";"Programa";15
"270";"Programas";15
"271";"Qualquer";15
"272";"Sempre";15
"273";"Solicitado";15
"274";"Texto";15
"275";"Ambientais";14
"276";"Apresentada";14
"277";"Caraguatatuba";14
"278";"Conhecimento";14
"279";"CTs";14
"280";"Desenvolvimento";14
"281";"Ferramentas";14
"282";"Fundação";14
"283";"Grandes";14
"284";"Incluindo";14
"285";"Leu";14
"286";"Manifestações";14
"287";"Memórias";14
"288";"Meta";14
"289";"Pediu";14
"290";"Pensar";14
"291";"Pesquisa";14
"292";"Primeira";14
"293";"Problemas";14
"294";"Quantidade";14
"295";"Resposta";14
"296";"Seguro";14
"297";"Sustentabilidade";14
"298";"Talvez";14
"299";"Tebar";14
"300";"Tipo";14
"301";"Uso";14
"302";"Analisar";13
"303";"Base";13
"304";"Encaminhará";13
"305";"Etapas";13
"306";"Falta";13
"307";"Finalizar";13
