"";"word";"n"
"1";"Pesca";384
"2";"Processo";219
"3";"Ambiental";211
"4";"Pescadores";209
"5";"Manejo";204
"6";"Trabalho";155
"7";"Comunidades";150
"8";"Áreas";148
"9";"Proposta";144
"10";"Gestão";142
"11";"UCS";140
"12";"Porto";131
"13";"Recursos";130
"14";"Ibama";129
"15";"Território";117
"16";"Informações";115
"17";"Elaboração";114
"18";"Criação";110
"19";"Embarcações";109
"20";"Turismo";109
"21";"Discussão";108
"22";"Zoneamento";107
"23";"Instituto";103
"24";"Compensação";102
"25";"Caso";101
"26";"Região";101
"27";"Ubatuba";101
"28";"Forma";99
"29";"Atividade";95
"30";"Conservação";95
"31";"Meio";95
"32";"Brasil";94
"33";"Necessário";94
"34";"Outras";93
"35";"Ambiente";92
"36";"Licenciamento";92
"37";"Maricultura";92
"38";"Possível";92
"39";"Sebastião";92
"40";"Estadual";90
"41";"Esclarece";89
"42";"DT";88
"43";"Local";88
"44";"Estado";87
"45";"Outros";87
"46";"Participação";87
"47";"Decreto";86
"48";"Paulo";84
"49";"Uso";84
"50";"Pedro";83
"51";"Gestor";82
"52";"Bem";81
"53";"Todo";81
"54";"Ilha";80
"55";"Marcio";80
"56";"Dados";77
"57";"Empreendimentos";77
"58";"Minuta";77
"59";"Próxima";77
"60";"Alguns";76
"61";"Náutico";76
"62";"ª";75
"63";"Equipe";75
"64";"Importância";75
"65";"Tempo";75
"66";"Araçá";74
"67";"Diagnóstico";73
"68";"Diálogo";73
"69";"Feito";73
"70";"Questiona";73
"71";"Segundo";71
"72";"Sempre";71
"73";"Setor";71
"74";"Apenas";70
"75";"Interesse";70
"76";"Partir";70
"77";"Atividades";69
"78";"Dp";69
"79";"Federal";69
"80";"Pauta";69
"81";"Possibilidade";69
"82";"Destaca";68
"83";"Parte";68
"84";"Necessidade";67
"85";"Unidades";67
"86";"Maior";66
"87";"Piscicultura";66
"88";"Fundação";65
"89";"Irá";65
"90";"Momento";65
"91";"Relação";65
"92";"Citou";64
"93";"Lembrou";64
"94";"Podem";64
"95";"Apresentou";63
"96";"Condicionantes";63
"97";"Moção";63
"98";"Produção";63
"99";"Empreendimento";62
"100";"Feita";62
"101";"Junto";62
"102";"Lucila";62
"103";"Oficinas";62
"104";"Ano";61
"105";"Discutir";60
"106";"Questionou";60
"107";"Serem";60
"108";"Somente";60
"109";"Anos";59
"110";"Antes";59
"111";"Comunidade";59
"112";"Empresa";59
"113";"Existem";59
"114";"Mapa";59
"115";"Mesa";59
"116";"Prazo";59
"117";"Preocupação";59
"118";"Devem";57
"119";"Monitoramento";57
"120";"Normas";57
"121";"Uc";57
"122";"Pediu";56
"123";"Produtos";56
"124";"Público";56
"125";"TDR";56
"126";"Algumas";55
"127";"Desde";55
"128";"Encaminhar";55
"129";"Fiscalização";55
"130";"Impactos";55
"131";"Objetivo";55
"132";"Espécies";54
"133";"Neste";54
"134";"Órgãos";54
"135";"Além";53
"136";"Desenvolvimento";53
"137";"Informa";53
"138";"Locais";53
"139";"Pessoas";53
"140";"Ambientais";52
"141";"Docas";52
"142";"Eduardo";52
"143";"Email";52
"144";"Esclareceu";52
"145";"Florestal";52
"146";"Mar";52
"147";"Ordenamento";52
"148";"Tradicionais";52
"149";"Acordo";51
"150";"Ajuda";51
"151";"Critérios";51
"152";"Dizendo";51
"153";"Durante";51
"154";"Ordinária";51
"155";"Apoio";50
"156";"Após";50
"157";"Caraguatatuba";50
"158";"Ilhabela";50
"159";"Instituições";50
"160";"Linha";50
"161";"Participativo";50
"162";"Presentes";50
"163";"Realizar";50
"164";"Dentro";49
"165";"Etapa";49
"166";"Faz";49
