se;importancia;is
Provisão de alimento;Econômica;0,699
Provisão de alimento;Sociocultural;0,796
Provisão de alimento;Ambiental Ecológica;0,505
Patrimônio Cultural;Econômica;0,645
Patrimônio Cultural;Sociocultural;0,839
Patrimônio Cultural;Ambiental Ecológica;0,387
Lazer e Recreação;Econômica;0,871
Lazer e Recreação;Sociocultural;0,742
Lazer e Recreação;Ambiental Ecológica;0,387
Beleza Cênica;Econômica;0,611
Beleza Cênica;Sociocultural;0,844
Beleza Cênica;Ambiental Ecológica;0,544
Regulação Climátia;Econômica;0,591
Regulação Climátia;Sociocultural;0,629
Regulação Climátia;Ambiental Ecológica;0,731
Depuração de Efluentes;Econômica;0,554
Depuração de Efluentes;Sociocultural;0,618
Depuração de Efluentes;Ambiental Ecológica;0,739
Prevenção de inundações e enchentes;Econômica;0,634
Prevenção de inundações e enchentes;Sociocultural;0,71
Prevenção de inundações e enchentes;Ambiental Ecológica;0,559
